Date,Open,High,Low,Close,Adj Close,Volume
2021-01-18,70.730003,71.080002,70.320000,71.080002,70.088554,4942365
2021-01-19,71.370003,72.269997,70.900002,70.900002,69.911064,7022554
2021-01-20,71.000000,71.150002,70.580002,71.150002,70.157585,6774369
2021-01-21,71.419998,71.769997,70.830002,71.500000,70.502693,9584059
2021-01-22,70.919998,71.239998,70.540001,70.919998,69.930786,6251605
2021-01-25,70.919998,71.250000,69.120003,69.239998,68.274216,8336268
2021-01-26,69.510002,70.029999,69.220001,69.529999,68.560173,9554753
2021-01-27,70.500000,70.800003,68.570000,68.849998,67.889656,11836524
2021-01-28,68.809998,68.989998,67.180000,68.309998,67.357185,11924393
2021-01-29,68.000000,68.699997,67.470001,67.870003,66.923325,10704521
2021-02-01,67.940002,68.639999,67.529999,68.000000,67.051514,9250973
2021-02-02,68.410004,68.410004,67.760002,68.089996,67.140251,7361754
2021-02-03,68.449997,68.860001,68.099998,68.639999,67.682587,9958907
2021-02-04,71.220001,72.160004,70.019997,71.360001,70.364647,21587901
2021-02-05,72.150002,72.150002,70.889999,70.919998,69.930786,12076946
2021-02-08,71.580002,71.839996,70.830002,71.669998,70.670319,8715750
2021-02-09,71.669998,71.779999,70.419998,70.779999,69.792732,7197525
2021-02-10,71.000000,71.550003,70.550003,71.440002,70.443535,7946922
2021-02-11,71.440002,71.610001,70.849998,71.150002,70.157585,5753259
2021-02-12,71.180000,71.660004,70.980003,71.660004,70.660469,7038151
2021-02-15,71.760002,73.269997,71.680000,72.839996,71.823997,8255198
2021-02-16,73.900002,75.680000,73.709999,75.559998,74.506065,12740022
2021-02-17,75.699997,75.900002,74.279999,75.059998,74.013039,10949926
2021-02-18,74.879997,75.430000,74.589996,75.230003,74.180664,10532463
2021-02-19,75.180000,75.279999,74.290001,75.050003,74.072105,9049008
2021-02-22,75.000000,75.680000,74.680000,75.500000,74.516235,8520672
2021-02-23,76.000000,76.720001,75.290001,76.120003,75.128159,9400423
2021-02-24,75.849998,76.430000,75.430000,76.430000,75.434120,11701683
2021-02-25,76.959999,78.769997,76.660004,77.599998,76.588875,14230971
2021-02-26,76.650002,77.370003,76.290001,76.320000,75.325546,11850182
2021-03-01,76.900002,77.849998,76.889999,77.680000,76.667831,6354537
2021-03-02,77.650002,79.129997,77.379997,78.919998,77.891670,9664317
2021-03-03,79.320000,80.300003,79.300003,80.010002,78.967476,10021563
2021-03-04,80.010002,80.660004,79.690002,80.540001,79.490570,9939437
2021-03-05,80.400002,81.690002,79.550003,80.940002,79.885361,10858100
2021-03-08,81.199997,83.430000,81.199997,82.930000,81.849426,10992805
2021-03-09,83.199997,83.709999,82.180000,82.889999,81.809944,8039001
2021-03-10,82.800003,83.709999,82.410004,83.129997,82.046814,7374115
2021-03-11,83.279999,83.339996,82.410004,83.010002,81.928383,7459567
2021-03-12,82.910004,83.660004,82.809998,83.589996,82.500824,6821900
2021-03-15,83.589996,83.930000,82.830002,83.080002,81.997475,7295269
2021-03-16,83.099998,83.639999,82.800003,83.050003,81.967865,7336226
2021-03-17,83.050003,83.669998,82.769997,82.830002,81.750725,11242219
2021-03-18,83.330002,83.989998,83.019997,83.879997,82.787041,9771570
2021-03-19,83.449997,84.029999,82.940002,83.580002,82.490959,11048883
2021-03-22,83.239998,84.260002,83.050003,83.839996,82.747559,8790151
2021-03-23,83.709999,83.989998,83.269997,83.779999,82.688347,6077270
2021-03-24,83.160004,85.669998,82.980003,85.489998,84.376068,12559096
2021-03-25,85.500000,85.620003,84.070000,84.800003,83.695061,8797074
2021-03-26,85.000000,85.550003,84.470001,85.320000,84.208282,7776208
2021-03-29,85.000000,85.529999,84.849998,85.070000,83.961540,5477432
2021-03-30,85.500000,87.269997,85.419998,86.860001,85.728218,8314652
2021-03-31,86.500000,87.139999,86.000000,86.000000,84.879425,6591406
2021-04-01,86.250000,86.599998,85.820000,86.599998,85.471603,3520692
2021-04-06,86.989998,88.080002,86.699997,86.970001,85.836784,10255681
2021-04-07,87.190002,87.919998,87.050003,87.769997,86.626358,8223142
2021-04-08,87.769997,87.940002,86.449997,86.820000,85.688736,8971304
2021-04-09,87.000000,87.480003,86.440002,87.419998,86.280914,7527529
2021-04-12,87.419998,87.519997,86.570000,87.300003,86.162483,5737117
2021-04-13,87.000000,87.910004,86.919998,87.500000,86.359879,6611778
2021-04-14,87.459999,87.690002,86.449997,87.690002,86.547401,7172380
2021-04-15,87.559998,87.629997,86.279999,86.480003,85.353172,7380336
2021-04-16,86.730003,88.029999,86.529999,87.900002,86.754662,8357641
2021-04-19,87.500000,87.849998,86.959999,87.209999,86.073654,5253493
2021-04-20,87.029999,87.440002,84.550003,84.849998,83.744408,7881453
2021-04-21,84.849998,86.059998,84.500000,84.830002,83.724670,6151341
2021-04-22,84.830002,84.930000,84.309998,84.669998,83.566750,5514188
2021-04-23,84.680000,84.900002,84.139999,84.849998,83.744408,6731849
2021-04-26,84.980003,85.720001,84.370003,85.449997,84.336586,6090936
2021-04-27,85.410004,85.949997,84.739998,85.949997,84.830070,10680100
2021-04-28,86.150002,86.489998,84.730003,85.320000,84.208282,6929941
2021-04-29,87.500000,89.300003,87.180000,88.580002,87.425804,16093141
2021-04-30,89.040001,89.360001,87.959999,87.959999,86.813881,5793782
2021-05-03,88.540001,88.900002,87.010002,87.660004,86.517792,6650601
2021-05-04,87.809998,88.250000,85.959999,86.029999,84.909027,10103639
2021-05-05,86.360001,88.019997,86.360001,87.239998,86.103256,7627129
2021-05-06,87.169998,87.519997,85.970001,86.599998,85.471603,7654125
2021-05-07,87.190002,87.209999,85.459999,85.940002,84.820206,7873203
2021-05-10,86.279999,86.500000,85.169998,86.260002,85.136032,8212407
2021-05-11,85.839996,86.199997,85.089996,85.360001,84.247757,9696875
2021-05-12,85.349998,85.900002,84.959999,85.610001,84.494507,4658584
2021-05-14,86.510002,88.430000,85.970001,88.370003,87.218544,11831303
2021-05-17,87.790001,88.129997,86.580002,86.930000,85.797302,6391020
2021-05-18,87.389999,87.919998,86.959999,87.519997,86.379616,6250062
2021-05-19,86.550003,87.800003,85.930000,86.470001,85.343300,8208288
2021-05-20,86.889999,87.449997,86.190002,86.849998,85.718338,6082139
2021-05-21,87.110001,88.919998,87.000000,88.519997,87.366585,11338833
2021-05-24,88.919998,89.440002,88.300003,88.769997,87.613327,4903025
2021-05-25,88.800003,89.580002,88.470001,88.910004,87.751503,6077932
2021-05-26,88.720001,89.830002,88.000000,88.669998,87.514626,17586896
